system:index,maximum,mean,minimum,pixelcount,stddev
SIF_2014_10,0.74343777,0.295534332,-0.27239609,575,0.146022955
SIF_2014_11,0.66859627,0.220736929,-0.230649,930,0.118875509
SIF_2014_12,0.51439,0.140734624,-0.487072,1313,0.112187178
SIF_2015_1,0.69041824,0.102476089,-0.34036732,580,0.113561081
SIF_2015_2,0.5866957,0.100061166,-0.3241701,1329,0.116194601
SIF_2015_3,0.628097287,0.131698115,-0.38489532,828,0.139496631
SIF_2015_4,0.65675545,0.189035762,-0.52203465,701,0.157277744
SIF_2015_5,0.718184465,0.239305827,-0.34052563,1182,0.156764774
SIF_2015_6,1.0942459,0.273385092,-0.5201225,939,0.19190334
SIF_2015_7,0.9883089,0.25850971,-0.36309052,688,0.196389401
SIF_2015_8,1.0002117,0.27685965,-0.39396954,907,0.192432099
SIF_2015_9,0.6813555,0.287530936,-0.257686145,321,0.155367392
SIF_2015_10,0.79186726,0.301858732,-0.183799427,988,0.134669909
SIF_2015_11,0.551775098,0.239708268,-0.19304085,118,0.150668787
SIF_2015_12,0.5277977,0.160728432,-0.48046017,1062,0.109359925
SIF_2016_1,0.56060505,0.149010647,-0.33136272,941,0.112180899
SIF_2016_2,0.6058979,0.127034691,-0.45571232,915,0.117398466
SIF_2016_3,0.529171,0.142907724,-0.3481245,632,0.121795578
SIF_2016_4,0.7417803,0.165745788,-0.39264774,1272,0.157082743
SIF_2016_5,0.881100155,0.180013777,-0.4807148,1875,0.168826114
SIF_2016_6,0.8928814,0.275223205,-0.2692814,240,0.21813658
SIF_2016_7,0.9190569,0.323453278,-0.2742815,806,0.191279016
SIF_2016_8,1.0986805,0.298964431,-0.2811451,515,0.203342673
SIF_2016_9,0.7841377,0.285953619,-0.6471834,544,0.178922494
SIF_2016_10,0.704347363,0.215277409,-0.35171986,640,0.146622082
SIF_2016_11,0.5496521,0.150103092,-0.32697773,411,0.123262439
SIF_2016_12,0.5586443,0.129731702,-0.25082302,815,0.101117125
SIF_2017_1,0.50367546,0.119368035,-0.2016201,1373,0.098683918
SIF_2017_2,0.62174225,0.08952136,-0.5372801,1066,0.102070078
SIF_2017_3,0.54939367,0.129278396,-0.36886024,767,0.137748057
SIF_2017_4,0.778718,0.14616874,-0.36156368,1623,0.152889694
SIF_2017_5,0.785849085,0.203166411,-0.4379692,1352,0.170145687
